filler,total_volume,last_trade_date
772JJ15pJV64Uit5BmV4CoJtMQHx9KRdHhizP7mAgjRQ,1.961901609161336e+09,2025-02-22 03:17:57.000 UTC
C13FZykQfLXKuMAMh2iuG7JxhQqd8otujNRAgVETU6id,1.2659506644653363e+09,2025-02-22 03:27:22.000 UTC
E6vCUxgcNfRLSu1wPHwqiN419LB22GAujb97tZDa91mh,1.0144744041734e+09,2025-02-22 03:34:01.000 UTC
4MyscRXFvZpq569ubcbLsEN9fnf1wvUN2Y2K5ZC7qyWS,6.20048041389251e+08,2025-02-22 03:21:33.000 UTC
7oBgn8ppcSV5K644K7Ee42uw6Sc4p4RAgwfT7GLVjhW8,5.055563187582959e+08,2025-02-22 03:29:14.000 UTC
EjsrAPWU4D9ftwyX9ErEptxBbqt8YaihnWqYp4RM65mz,5.0065533864978284e+08,2025-02-22 03:34:53.000 UTC
6McRjTd6iKrUSvzQewoMhrnEkcgZfrZPsXcTexihb9p6,3.229675054672078e+08,2025-02-22 03:31:51.000 UTC
HbCfJA7mdqZRXSXHMQpVsztBgfKygFFeQqeazJKmUME8,2.8596745454372305e+08,2025-02-22 03:22:55.000 UTC
CkGBSzcyVY85JPxs8KaPyBguWRihakKy4vEC9Rynmtic,2.6839704485984415e+08,2025-02-20 22:45:04.000 UTC
H5jfagEnMVNH3PMc2TU2F7tNuXE6b4zCwoL5ip1b4ZHi,2.2264233972614396e+08,2025-02-22 03:21:58.000 UTC
7tA8fYQGs5c1Jza9E2xqhLNCFDeJPoq5sxC6AiWoCM9Z,1.3424974034971005e+08,2025-02-22 03:13:24.000 UTC
<nil>,1.1141468872934103e+08,2025-02-22 01:37:45.000 UTC
Q7X3uhmgWgYJZaYeg6RJWJSQDnc6cmVjjonZEq21T3a,1.0052112979919294e+08,2025-02-22 03:28:45.000 UTC
EFPXvSt1PyfPeP5WpNhfinzPcisZiAxrqkJTWEtkS2JY,9.044816808861604e+07,2025-02-20 22:44:52.000 UTC
2nAQCkwtj2C2gfUNfu8cYaX36Pm6QgsHkjorx7co99Bz,8.506995247578302e+07,2025-02-22 03:35:00.000 UTC
Ao7x556FtmxLVmQTgY112qm6A8Fc9dyMMcstxyQvS7M2,7.384040732320897e+07,2025-02-20 22:44:52.000 UTC
FTdpYVrfmexfTanuGnKQKuSuJ76RoYPDwR3QijtJwNQu,7.319081240959406e+07,2025-02-22 03:29:28.000 UTC
5Rj8rxfWnTq1UYer9FHtLeyKrQirWHoD9U7cUBXDX2hW,5.3036613694143996e+07,2025-02-21 23:51:32.000 UTC
6BNXUfsrmu5aFddZkJ6Q3ZaXDcf2jtkv4rkwKPAf2Lqv,4.668533875312802e+07,2025-02-21 19:47:44.000 UTC
5KPkwB2tqRV7849397JAVWwXrnJUmqmQvfaX3T8a5K9y,3.913028300187897e+07,2025-02-22 03:00:58.000 UTC
53Lrpro5QWzh9iPNvSNMUQkvt9bSn6NLXLt3WTW1yrxo,3.730504497674302e+07,2025-02-22 02:46:03.000 UTC
Fte9W5ZAkngDJXWunCYsxsvpuU3FcUSH3hGhRsnoJh3w,3.7096880559059e+07,2025-01-22 09:40:41.000 UTC
7K8co9itAZDhCB4WKCDoN9GtCumspAJW9Q9Nw2Hd35FC,3.5000504305042e+07,2025-02-22 03:15:34.000 UTC
72MvKUrAxWPdihobhsUcScXLKv8bjPjtaGxEzrCUzEdy,3.3043550683097e+07,2025-02-22 00:34:46.000 UTC
ABf1ik4jkUeVR6w86Snc8Fwpy4AMSffRWfXETAZwYYSo,3.005480503308998e+07,2025-02-22 01:05:56.000 UTC
AE7xUuUsxs1i9BXqoaKZfVuMJG6JbVFewzZa88uJzmRF,2.9915678761667017e+07,2025-02-22 03:24:15.000 UTC
4VX8wbctrdkh51X6iyuaJTdVoLSmya14iiGioTx2ZArC,2.7854863561542995e+07,2025-02-22 03:05:46.000 UTC
2AsbzFqyFCqX8TQscS7dm9egexETmWW1rmB1hokALvZc,2.5242412894578993e+07,2025-02-22 00:46:39.000 UTC
ENCKpsYkok7KfBnDHaG1auE348XXLEe3GCDzJ2bCG4NM,2.475554545936999e+07,2025-02-22 03:34:51.000 UTC
Fswr7pUAzCbxKHnnMySiYsJ7qLNdQ8ykuig54xqmLXHA,2.3991918579250008e+07,2025-02-22 03:14:52.000 UTC
Ai9PpRX4q3Bj1pXgWKm5BWw5HafhTRyujusxWKP7psBd,2.1187004700204004e+07,2025-02-22 03:16:40.000 UTC
2aMcirYcF9W8aTFem6qe8QtvfQ22SLY6KUe6yUQbqfHk,2.0757913056246e+07,2025-01-15 20:10:48.000 UTC
DLJo1uDPPAaoY4JgXRGePLNCX6E28nQbXkbCFf7fTLED,1.8194339120646004e+07,2025-01-21 04:46:42.000 UTC
DAAzFssAixSQfywpRMwt8GfUrGp3bwQ7GWb6tamF1UGv,1.8065422598340996e+07,2025-02-22 02:03:26.000 UTC
9GctR7hR9sJF6vnqva7LXE8ubUUmcTj35XBDvjuLi5TC,1.5350645341527e+07,2025-02-22 00:54:50.000 UTC
7dMSqwuRZhsoLeRwdjNdxeFu9JeGJzhaV84DCeMMF93c,1.4038843138879986e+07,2025-02-22 03:30:27.000 UTC
9wPRaRmydqZQPaWxtoEwe3nsBE8u8jaWW3iNtGSPVHjD,1.2741264801600004e+07,2025-02-22 00:15:00.000 UTC
5b2BGYKskMcX8dEHNdaQuNMHYEF5wCy6cP5ND2aaf44J,1.1099892548116993e+07,2025-02-22 01:45:08.000 UTC
BLzLcew4sBZ4NKkLpEqj49g5j6H88AjjyjEZ7tJ6JVoN,1.0859989141928002e+07,2025-02-21 20:04:38.000 UTC
EaiG4AtxQ7H2Bk8Eih168xJCuCu87tpBZYgb7Vebe8AM,1.0573353792053008e+07,2025-02-22 02:04:20.000 UTC
6BGtdW8BCcPpwqhRom5oY2xv29WWiB6wpee4GXwLSasB,1.0454706850587e+07,2025-02-22 03:29:58.000 UTC
h5q9e3aTiD6QLJzaVCdbwV6nTLsrrCjpW1Vf3yT9KHo,9.192144878958004e+06,2025-02-22 02:37:19.000 UTC
68UtG9XdH4go4NvcSj9Pd5fZeVD5su9CUQKNy6vySfbz,8.716289395049e+06,2025-02-22 01:38:08.000 UTC
HPVVmzTKkwMWbpNyT9PQoeowBEWaXca2g9NYUawYuBQ6,8.1295617587509975e+06,2025-02-22 02:59:38.000 UTC
