filler,total_volume,last_trade_date
772JJ15pJV64Uit5BmV4CoJtMQHx9KRdHhizP7mAgjRQ,3.9203986082867255e+09,2024-12-30 23:26:03.000 UTC
C13FZykQfLXKuMAMh2iuG7JxhQqd8otujNRAgVETU6id,2.527869629600357e+09,2024-12-30 23:59:52.000 UTC
E6vCUxgcNfRLSu1wPHwqiN419LB22GAujb97tZDa91mh,1.1876980302331097e+09,2024-12-30 23:59:44.000 UTC
4MyscRXFvZpq569ubcbLsEN9fnf1wvUN2Y2K5ZC7qyWS,9.743622926990505e+08,2024-12-30 23:54:12.000 UTC
EFPXvSt1PyfPeP5WpNhfinzPcisZiAxrqkJTWEtkS2JY,8.911961280518525e+08,2024-12-30 23:06:44.000 UTC
Ao7x556FtmxLVmQTgY112qm6A8Fc9dyMMcstxyQvS7M2,7.46411389156273e+08,2024-12-30 23:34:30.000 UTC
HbCfJA7mdqZRXSXHMQpVsztBgfKygFFeQqeazJKmUME8,7.365642306392252e+08,2024-12-30 23:59:41.000 UTC
EjsrAPWU4D9ftwyX9ErEptxBbqt8YaihnWqYp4RM65mz,7.191825629072404e+08,2024-12-30 23:58:07.000 UTC
H5jfagEnMVNH3PMc2TU2F7tNuXE6b4zCwoL5ip1b4ZHi,6.735035743636214e+08,2024-12-30 23:57:42.000 UTC
CkGBSzcyVY85JPxs8KaPyBguWRihakKy4vEC9Rynmtic,4.188215596406528e+08,2024-12-30 23:59:04.000 UTC
6McRjTd6iKrUSvzQewoMhrnEkcgZfrZPsXcTexihb9p6,4.0599842983280987e+08,2024-12-30 23:47:59.000 UTC
2aMcirYcF9W8aTFem6qe8QtvfQ22SLY6KUe6yUQbqfHk,2.90818748089043e+08,2024-12-30 23:54:59.000 UTC
2nAQCkwtj2C2gfUNfu8cYaX36Pm6QgsHkjorx7co99Bz,2.4492490965778905e+08,2024-12-24 09:09:03.000 UTC
7oBgn8ppcSV5K644K7Ee42uw6Sc4p4RAgwfT7GLVjhW8,2.1918305813405704e+08,2024-12-30 22:59:29.000 UTC
<nil>,2.0955223426553887e+08,2024-12-30 21:45:54.000 UTC
